manufacturer,icao_code,model,physical_class,number_of_engines,weight
Acro Sport,SACE,Super Ace,Piston,1,0.46719976
Acro Sport,JACE,Junior Ace,Piston,1,0.5556502
Acro Sport,COUG,Cougar,Piston,1,0.56699
Acro Sport,ACRO,Acro Sport,Piston,1,0.6123492
Acro Sport,ACRO,Super Acro Sport,Piston,1,0.6123492
Acro Sport,ACR2,Acro Sport II,Piston,1,0.68945984
Adam Aircraft Industries,A500,A-500,Piston,2,3.175144
Adam Aircraft Industries,A700,A-700 AdamJet,Jet,2,3.4472992
Aeritalia,G222,G222,Turboprop,2,28.00023416
Aermacchi / Macchi,M308,MB-308,Piston,1,0.649997336
Aermacchi / Macchi,F260,SIAI-Marchetti SF.260 (now Leonardo SF-260),Piston,1,1.299994672
Aermacchi / Macchi,AM3,AM-3CM Bosbok,Piston,1,1.700062816
Aermacchi / Macchi,LA60,AL-60-B2,Piston,1,1.745875608
Aermacchi / Macchi,L90,M-290 TP Redigo,Turboprop,1,1.90055048
Aermacchi / Macchi,M326,MB-326,Jet,1,3.7648136
Aermacchi / Macchi,M339,MB-339,Jet,1,5.896696
Aermacchi / Macchi,M346,M-346 Master,Jet,1,9.50048444
Aero Boero,AB95,AB-95,Piston,1,0.699892456
Aero Boero,AB11,AB-115 BS,Piston,1,0.769745624
Aero Boero,AB18,AB-180 RVR,Piston,1,0.889947504
Aero Boero,AB15,AB-150 Ag,Piston,1,1.001077544
Aero Commander Aircraft,CLB1,A-9 Quail Commander (A9B-M),Piston,1,1.7236496
Aero Commander Aircraft,AC52,520 Twin Commander,Piston,2,2.5854744
Aero Commander Aircraft,AC50,500 Commander,Piston,2,2.721552
Aero Commander Aircraft,AC56,560 and 560-A Twin Commander,Piston,2,2.721552
Aero Commander Aircraft,AC50,500-A Commander,Piston,2,2.83495
Aero Commander Aircraft,AC56,560-E Commander,Piston,2,2.948348
Aero Commander Aircraft,AC50,500-B Commander,Piston,2,3.061746
Aero Commander Aircraft,AC50,500U/500S Shrike Commander,Piston,2,3.061746
Aero Commander Aircraft,AC68,680 Commander,Piston,2,3.175144
Aero Commander Aircraft,AC56,560-F Commander,Piston,2,3.40194
Aero Commander Aircraft,AC68,680-E Commander,Piston,2,3.40194
Aero Commander Aircraft,AC72,720 Alti Cruiser,Piston,2,3.40194
Aero Commander Aircraft,AC68,680-F Commander,Piston,2,3.628736
Aero Commander Aircraft,AC6L,"680-FL Grand Commander and 680-FL(P) Pressurized Grant Commander (in 1969 the FL(P) was dropped from production and FL aircraft named ""Courser"")",Piston,2,3.855532
Aero Commander Aircraft,AC80,680-T Turbo Commander,Turboprop,2,4.0596484
Aero Commander Aircraft,AC6L,685 Commander,Piston,2,4.082328
Aero Commander Aircraft,AC80,680-V Turbo Commander,Turboprop,2,4.2637648
Aero Commander Aircraft,AC80,680-W Turbo Commander,Turboprop,2,4.2637648
Aero Commander Aircraft,AC80,681 Hawk Commander,Turboprop,2,4.2637648
Aero Commander Aircraft,AC90,690/690-A Twin Commander,Turboprop,2,4.649318
Aero Commander Aircraft,AC90,690-B Twin Commander,Turboprop,2,4.6833374
Aero Commander Aircraft,AC90,690-C JetProp 840,Turboprop,2,4.6833374
Aero Commander Aircraft,AC90,695 JetProp 900 (the 840 with 733 shp),Turboprop,2,4.6833374
Aero Commander Aircraft,AC90,690-D JetProp 900,Turboprop,2,4.8534344
Aero Commander Aircraft,AC95,695-A JetProp Commanger 1000,Turboprop,2,5.0802304
Aero Commander Aircraft,AC95,695-B JetProp Commanger 1000,Turboprop,2,5.329706
Aero Commander Aircraft,JCOM,1121 Jet Commander,Jet,2,7.6203456
Aero Spacelines,SGUP,B-377-SG/SGT Super Guppy,Turboprop,4,77.11064
Aero Vodochody,L60,Aero L-60 Brigadyr,Piston,1,1.559902888
Aero Vodochody,AE45,"Aero 45, Aero 145",Piston,2,1.599818984
Aero Vodochody,L29,Aero L-29 Delfin,Jet,1,3.539831968
Aero Vodochody,L39,Aero L-39 Albatros (L-39C),Jet,1,4.700120304
Aero Vodochody,L59,Aero L-59 Super Albatros (L-59E),Jet,1,6.999831744
Aero Vodochody,L159,Aero L-159 Alca (L-159A),Jet,1,8.000002104
Aeromere,,F8L Falco (Laberda Super Falco Series IV),Piston,1,0.820094336
Aeronca,AR11,11 Chief,Piston,1,0.56699
Aeronca,CH7A,"7AC Champion (""Champ"")",Piston,1,0.59874144
Aeronca,,7EC Traveler,Piston,1,0.6577084
Aeronca,AR15,15 Sedan,Piston,1,0.9298636
Aeroprogress Inc.,,T-411 Wolverine,Piston,1,1.9958048
Aerospatiale,S601,SN 601 Corvette,Jet,2,6.5997636
Aerospatiale,N262,Nord 262A,Jet,2,10.30107432
Aerospatiale (Sud Aviation),S210,SE 210 Caravelle III,Jet,2,56.00046832
Aerostar Aircraft Corp,,600/600A/600E Aerostar (see Piper PA-60/61),Piston,2,2.494756
Air Tractor,AT3P,AT-300/301,Piston,1,2.26796
Air Tractor,AT3T,AT-302,Piston,1,3.4926584
Air Tractor,AT3T,AT-402B,Turboprop,1,4.15943864
Air Tractor,AT5T,AT-502B,Turboprop,1,4.2637648
Air Tractor,AT5T,AT-504,Turboprop,1,4.3544832
Air Tractor,AT5T,AT-502XP,Turboprop,1,4.75364416
Air Tractor,AT5T,AT-503T,Turboprop,1,4.75364416
Air Tractor,AT6T,AT-602,Turboprop,1,5.6699
Air Tractor,AT8T,AT-802A,Turboprop,1,7.257472
Air Tractor,AT8T,"AT-802F, AT-802F Fire Boss",Turboprop,1,7.257472
Air Tractor,AT8T,AT-802U,Turboprop,1,7.257472
Airbus,A318,A318-100,Jet,2,67.99979109
Airbus,A319,A319neo Sharklet,Jet,2,75.49993481
Airbus,A319,A319-100,Jet,2,76.49965158
Airbus,A319,A319-100 Sharklet,Jet,2,76.49965158
Airbus,A320,A320-200,Jet,2,78.00013391
Airbus,A320,A320-200 Sharklet,Jet,2,78.00013391
Airbus,A320,A320neo Sharklet,Jet,2,78.99985068
Airbus,A321,A321-100,Jet,2,88.99973991
Airbus,A321,A321-100 Sharklet,Jet,2,88.99973991
Airbus,A321,A321-200,Jet,2,93.49982614
Airbus,A321,A321-200 Sharklet,Jet,2,93.49982614
Airbus,A321,A321neo Sharklet,Jet,2,93.49982614
Airbus,,A400M Atlas,Turboprop,4,140.9999804
Airbus,A30B,A300-100/200 (A300-B2-100/200),Jet,2,141.9996972
Airbus,A310,A310-200,Jet,2,143.9995843
Airbus,A3ST,A300-600ST BelugaST,Jet,2,154.9982831
Airbus,A30B,A300-100 (A300-B4-100),Jet,2,157.4993894
Airbus,A310,A310-300,Jet,2,163.9993627
Airbus,A30B,A300-200 (A300-B4-200),Jet,2,164.9986259
Airbus,A30B,"A300-200 (A300-C4-200, F4-200)",Jet,2,164.9986259
Airbus,A306,A300-600 (B4/C4-600),Jet,2,164.9986259
Airbus,A306,A300-600 (F4-600),Jet,2,170.4993361
Airbus,A306,A300-600R (B4-600R),Jet,2,171.6981798
Airbus,A3ST,A300-600XL BelugaXL,Jet,2,226.9973948
Airbus,A332,A330-200,Jet,2,241.9999502
Airbus,A332,A330-200F,Jet,2,241.9999502
Airbus,A333,A330-300,Jet,2,241.9999502
Airbus,A358,A350-800 XWB,Jet,2,247.9787464
Airbus,A342,A340-200,Jet,4,274.9996754
Airbus,A343,A340-300,Jet,4,276.4997042
Airbus,A359,A350-900,Jet,2,280.0000736
Airbus,A359,A350-900 XWB,Jet,2,280.0023416
Airbus,,A350-1000 XWB,Jet,2,308.896152
Airbus,,A350-1000,Jet,2,310.9999117
Airbus,A345,A340-500,Jet,4,379.9994196
Airbus,A346,A340-600,Jet,4,379.9994196
Airbus,A388,A380-800,Jet,4,574.9995275
Airbus,A38F,A380-843F,Jet,4,589.6696
American Aviation Corporation,AA1,AA-1 Yankee Clipper,Piston,1,0.680388
American Aviation Corporation,AA1,AA-1A Trainer,Piston,1,0.680388
American Aviation Corporation,AA5,AA-5A Cheetah,Piston,1,0.9979024
American Champion Aircraft Corp,CH7A,7EC Champ,Piston,1,0.59874144
American Champion Aircraft Corp,CH7A,7ECA Citabria Aurora,Piston,1,0.793786
American Champion Aircraft Corp,CH7B,7GCAA Citabria Adventure,Piston,1,0.793786
American Champion Aircraft Corp,CH7B,7GCBC Citabria Explorer,Piston,1,0.8164656
American Champion Aircraft Corp,CH7B,7GCBC Citabria High Country Explorer,Piston,1,0.8845044
American Champion Aircraft Corp,BL8,8KCAB Super Decathlon,Piston,1,0.8845044
American Champion Aircraft Corp,BL8,8KCAB Xtreme Decathon,Piston,1,0.8845044
American Champion Aircraft Corp,BL8,8GCBC Denali Scout,Piston,1,0.9752228
American Champion Aircraft Corp,BL8,8GCBC Scout,Piston,1,0.9752228
Anequim,,CEA-311,,,0.499858384
Antonov,A140,An-140,,,21.5002608
Antonov,AN26,An-26,,,24.00408864
Antonov,AN72,"An-72, An-74",Jet,2,34.50020752
Antonov,AN12,An-12,,,55.111428
Antonov,A124,An-124 Ruslan,,,404.9991426
ATR (Aérospatiale/Alenia),AT43,ATR-42-300/320,Turboprop,2,16.7035254
ATR (Aérospatiale/Alenia),AT44,ATR-42-400 (upgraded version of 320),Turboprop,2,16.7035254
ATR (Aérospatiale/Alenia),AT45,"ATR-42-500/""600""",Turboprop,2,18.59953996
ATR (Aérospatiale/Alenia),AT72,ATR-72-101/102,Turboprop,2,19.98979944
ATR (Aérospatiale/Alenia),AT72,ATR-72-201/202 and -211/212,Turboprop,2,21.5002608
ATR (Aérospatiale/Alenia),AT72,ATR-72-201/202 with Mod 3651,Turboprop,2,21.99966559
ATR (Aérospatiale/Alenia),AT72,"ATR-72-212A/""600"" Basic",Turboprop,2,21.99966559
ATR (Aérospatiale/Alenia),AT72,ATR-72-212A/600 with WV50,Turboprop,2,22.99983595
Australian Government Aircraft Facilities (GAF),NOMA,Nomad N22B,Turboprop,2,3.855532
Australian Government Aircraft Facilities (GAF),NOMA,Nomad N24A,Turboprop,2,4.2637648
Basler Turbo Conversions,DC3T,Basler BT-76 (a DC-3 conversion),Turboprop,2,13.04077
Beagle Aircraft Limited,PUP,B.121 Pup,Piston,1,0.7257472
Beagle Aircraft Limited,D4,D.4/108 Auster,Piston,1,0.8618248
Beagle Aircraft Limited,AUS6,A.61 Terrier,Piston,1,1.0886208
Beagle Aircraft Limited,D5,D.5/108 Husky,Piston,1,1.0886208
Beagle Aircraft Limited,AIRD,A.109 Airedale,Piston,1,1.247378
Beagle Aircraft Limited,BASS,B.206,Piston,2,3.40194
Beagle Aircraft Limited/Scottish Aviation,BDOG,B.125 Bulldog,Piston,1,1.0659412
Beechcraft,BE77,Model 77 Skipper,Piston,1,0.7597666
Beechcraft,BE35,Bonanza 35 (G35),Piston,1,1.417475
Beechcraft,BE35,Bonanza 35 (P35),Piston,1,1.417475
Beechcraft,BE35,Bonanza 35 (V35TC) rare as only 7 built,Piston,1,1.5422128
Beechcraft,BE33,Bonanza 33 (F33A),Piston,1,1.587572
Beechcraft,BE36,Bonanza 36 (G36),Piston,1,1.6556108
Beechcraft,B36T,"Bonanza A36TC ""Turbo Bonanza""",Piston,1,1.6556108
Beechcraft,BE76,Model 76 Duchess,Piston,2,1.7690088
Beechcraft,BE95,Model 95 Travel Air D95A,Piston,2,1.9050864
Beechcraft,BE55,Baron 55,Piston,2,2.4040376
Beechcraft,BE58,Baron 58 (and current G58),Piston,2,2.494756
Beechcraft,T34P,T-34C Mentor,Turboprop,1,2.494756
Beechcraft,BE56,Baron 56 TC Turbo Baron,Piston,2,2.71701608
Beechcraft,BE60,Model 60 Duke (Original 60 and the A60),Piston,2,3.0504062
Beechcraft,B60T,Duke 60 Royal Turbine,,,3.0730858
Beechcraft,BE60,Model 60 Duke (B60),Piston,2,3.0730858
Beechcraft,BE60,Model 60 Royal Turbine Duke,Turboprop,1,3.1978236
Beechcraft,BE65,Model 65 (Queen Air 65),Piston,,3.4926584
Beechcraft,BE80,Model 80 (Queen Air 80),Piston,,3.628736
Beechcraft,BE65,Model 65A (Queen Air A65),Piston,,3.7194544
Beechcraft,BE70,Model 70 (Queen Air 70),Piston,,3.7194544
Beechcraft,BE80,Model 80A (Queen Air A80),Piston,,3.855532
Beechcraft,,UC-45 Expeditor,Piston,2,3.958497384
Beechcraft,BE80,Model 80B (Queen Air B80),Piston,,3.9916096
Beechcraft,BE88,Model 88 (Queen Air 88),Piston,,3.9916096
Beechcraft,BE9L,King Air 90 (A90),Turboprop,2,4.2184056
Beechcraft,BE18,Model 18 (H18 Super Twin Beech),Piston,2,4.4905608
Beechcraft,BE9L,King Air 90 (C90B),Turboprop,2,4.5812792
Beechcraft,BE9L,King Air C90GTx,Turboprop,2,4.5812792
Beechcraft,BE9L,King Air C90GTi,Turboprop,2,4.75591212
Beechcraft,BE9L,King Air C90GTx,Turboprop,2,4.75591212
Beechcraft,BE9T,King Air 90 (F90),Turboprop,2,4.9668324
Beechcraft,BE99,Model 99 Airliner,Turboprop,2,5.1255896
Beechcraft,B18T,"Model 18 Turboliner (aka Turbo 18), Hamilton Westwind III",Turboprop,2,5.216308
Beechcraft,BE10,King Air 100 (B100),Turboprop,2,5.3523856
Beechcraft,PRM1,"Beech 390 Premier I, IA, II (Raytheon Premier I)",Jet,2,5.6699
Beechcraft,BE20,King Air 200 and 250 (also marketed as Model 1300 Commuter),Turboprop,2,5.6699
Beechcraft,BE20,"King Air B200 (A200CT C-12D/F, FWC-12D, and RC-12D/G/H)",Turboprop,2,5.6699
Beechcraft,BE30,King Air 300 and 300LW (Limited Weight version),Turboprop,2,6.350288
Beechcraft,B350,King Air 350i (current production model),Turboprop,2,6.80388
Beechcraft,BE40,Beechjet 400 (from/same as MU-300-10 Diamond II),Jet,2,7.15768176
Beechcraft,BE40,Beechjet 400A (became Raytheon Beechjet 400A),Jet,2,7.3028312
